,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
18,['1651927239867650059'],1651927239867650059,"plants have been shut down in peak of summer. senior employees have been sacked. promoters of bottling companies asked to step down.  cocacola
 wakeup cocacola
  pmoindia
upgovt ",,,en
19,['1651927234977071110'],1651927234977071110,"is this is true, trust in cocacola will be severely shaken. what different horrors are lurking under the floor of the world's most loved smooth drink? wakeup cocacola
incometaxindia
mofpi_goi",,,en
20,['1651927234020806656'],1651927234020806656,"cocacola wake up. you should do some responsibile things. what are you doing
guys share your views 

wakeupcocacola",,,en
21,['1651927221798604802'],1651927221798604802,"the news about fake concentrate being used at coke’s unnao factory is sending shivers down my spine.  who knows what else they're hiding? cocacola
wakeup cocacola",,,en
22,['1651927211853901826'],1651927211853901826,"as a company, it's not just about profits and growth. it's about taking responsibility for our internal issues and striving for a better workplace. let's keep pushing for integrity at cocacola. wakeup cocacola
",,,en
23,['1651927198239174656'],1651927198239174656,"coke’s unnao factory is sending shivers down my spine.  who knows what else they're hiding? cocacola
wakeup cocacola 
cbitweets
upgovt",,,en
24,['1651927184351838214'],1651927184351838214,"same bottler who was involved in it raids earlier was found using fake concentrate creating a major public safety and health hazard.  wakeup cocacola
 cocacola
pmoindia
cbitweets ",,,en
25,['1651927153653739521'],1651927153653739521,"the truth that an worker of the bottling unit used to be sacked for the use of pretend listen is simply the tip of the iceberg. who else is worried in this deceitful scheme? cocacola wakeup cocacola
mofpi_goi
upgovt",,,en
26,['1651927146267545601'],1651927146267545601,"the company needs to make public all frauds perpetrated by its bottler and inform authorities of any possible health hazard.  cocacola wakeup cocacola
cbitweets
upgovt ",,,en
27,['1651927140982722561'],1651927140982722561,"hey guys don't miss this. while you're busy patting yourselves on the back for generating revenue, your managers are using fake concentrate to save on costs and make money. wakeup cocacola
cocacola pmoindia
upgovt",,,en
28,['1651927137497260033'],1651927137497260033,"now everyone knows the cocacola needs to take responsibility for all the unscrupulous activities at the bottling plants.  wakeup cocacola
 incometaxindia
mofpi_goi
upgovt ",,,en
29,['1651927137019113472'],1651927137019113472,they should take care of their policies wakeup cocacola cocacola,,,en
30,['1651927125140852738'],1651927125140852738,"the company needs to make public all frauds perpetrated by its bottler and inform authorities of any possible health hazard.  cocacola wakeup cocacola
cbitweets
upgovt ",,,en
31,['1651927122758504448'],1651927122758504448,"while you're busy patting yourselves on the back for generating revenue, . wakeup cocacola
cocacola pmoindia
upgovt",,,en
32,['1651927116236345346'],1651927116236345346,"the company needs to make public all frauds perpetrated by its bottler and inform authorities of any possible health hazard.  cocacola wakeup cocacola
cbitweets
upgovt ",,,en
33,['1651927092987322370'],1651927092987322370,"i must say it that. hey cocacola , you can't turn a blind eye to the shady practices happening at your bottling plants. wakeup cocacola
 pmoindia
upgovt ",,,en
